cell_id,orientations,mean_responses,sem_responses,fit_params,r_squared,osi
0,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.22729567  1.0227764   1.9671447  13.1352     17.80486     3.3722548
  1.534773    0.9989194   1.5782474   3.2754164   0.9314666   1.4333439
 11.039454   17.580683    4.516762    0.32526872  0.16392162  1.705705  ]","[0.07770722 0.66755727 0.83328821 0.67878975 0.08377563 0.38246503
 0.87370847 0.43478381 0.88291292 1.4824751  0.64072638 0.69237081
 0.9452927  0.0938822  1.27733535 0.17032829 0.10877533 1.21675541]","{'amplitude': 36.94552913752865, 'preferred_orientation': 73.77392203631521, 'sigma': 13.408717058810202, 'offset': 1.140657467114555}",0.9817970691198572,0.8900787218525659
3,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.54742056  0.75358737  0.6046846   2.4880238  27.746288    1.3711743
  1.1429847   0.65524495  0.4305961   1.8552356   0.5294603   0.77581406
  1.066932   22.33014     1.9301404   0.4826372   0.17054118  2.420991  ]","[0.09252029 0.37127736 0.24408045 0.74710296 1.28495154 0.42703469
 0.76824812 0.4748476  0.19879229 0.94936897 0.22513346 0.23265804
 0.4138807  2.40211563 0.66553406 0.20359899 0.05697945 1.98593607]","{'amplitude': 48.36839498785047, 'preferred_orientation': 79.77694716627073, 'sigma': -7.725927457424021, 'offset': 0.8640942133446415}",0.9803763563614153,0.9333064723571275
4,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 1.0865631   0.47178906  0.59248006  0.76943624  1.2826343   0.01629129
 10.238468    4.817942    0.74459684  0.63910306  0.883019    0.5614321
  0.7562882   0.2285415   0.7011995  13.202265    5.088438    0.70993465]","[0.30919642 0.03050472 0.13468663 0.38763713 0.62683158 0.06183178
 1.82163737 2.04057103 0.08805405 0.05522377 0.15720677 0.06905956
 0.48187929 0.14508694 0.36493085 1.99006747 1.48393827 0.10944513]","{'amplitude': 110.28748141729643, 'preferred_orientation': 308.84606717506114, 'sigma': 4.932949520081948, 'offset': 0.6745218538184421}",0.9755385989503615,0.9761200705262459
6,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.20474167 0.52106726 0.60240227 2.187716   1.0903744  1.1115315
 8.138318   3.994193   1.1513824  0.9593242  1.3533661  0.84440297
 1.3359575  1.034265   2.5595877  8.225918   5.6675444  1.4981477 ]","[0.16947248 0.50488704 0.32994254 0.89053475 0.50918008 0.47179739
 0.56510621 0.67439526 0.32171594 0.74703443 0.65880712 0.30797956
 0.47695801 0.35926062 1.00781384 0.57274132 0.74765989 0.33587936]","{'amplitude': 15.856119524939968, 'preferred_orientation': 305.49702942086304, 'sigma': 11.977342763965954, 'offset': 1.0380286925721836}",0.9502676012337348,0.7924797006553215
8,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 1.2192856   3.1390345  13.45334    13.533821    8.297298   -0.05165851
  2.1959457   0.6426251   2.782356    1.7291973   5.528396   13.780607
 13.863087    7.50599     1.3067833   1.5377918   1.3798884   1.9262382 ]","[0.42547391 0.91002852 0.17618484 0.04981773 1.31460884 0.1328323
 0.74045278 0.60606292 0.68922227 0.48617321 0.68430272 0.0696061
 0.07807285 1.1793682  0.63531279 0.73455272 0.79238579 0.67102166]","{'amplitude': 28.386542493760448, 'preferred_orientation': 232.65051254488276, 'sigma': 19.883284273083675, 'offset': 1.280496782196808}",0.9590085806106259,0.8470881349213361
17,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.72551453  0.880908    0.28863093  0.3105081   0.9769025  11.213025
  1.5381279   0.3263483   0.2163114   0.44155034  1.2425545   0.3172373
  0.15023927  1.4507108  11.976139    4.1967144   0.85894924  0.45070088]","[0.28733833 0.294894   0.1741514  0.09187227 0.24936824 0.26347011
 0.26048664 0.07633709 0.08776492 0.11969785 0.41888134 0.21168316
 0.09861977 0.26127893 0.21399949 0.31023794 0.2139153  0.16004884]","{'amplitude': 23.125232412027128, 'preferred_orientation': 282.81651480999426, 'sigma': 9.628116235256787, 'offset': 0.5161798844279907}",0.9763510296218703,0.9180340025327698
19,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.8600626   0.77326155  0.41914874  0.22550717  0.38773662 12.625262
  1.1233039   0.25325292  0.20744383  0.48256218  1.4097762   0.3158052
  0.15492383  0.74995136 12.917252    0.82448053  0.46995142  0.4058162 ]","[0.45705813 0.25082498 0.20392999 0.05486375 0.21718612 0.42766521
 0.25464763 0.06578108 0.05090807 0.23823228 0.32866791 0.06377337
 0.04677722 0.3642404  0.59015556 0.1427606  0.27329831 0.18204906]","{'amplitude': 25.90914662215176, 'preferred_orientation': 282.26762805772063, 'sigma': -6.897836300214146, 'offset': 0.49812738639777726}",0.9940913941203363,0.9285881263243917
21,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[1.3127578  1.5950866  5.613505   9.169352   2.3341045  1.5994557
 1.194334   1.1381338  0.6676007  0.7680803  0.11671757 1.8721583
 7.8406997  3.820074   0.7716111  0.47682208 0.44489336 0.3243771 ]","[0.64829043 0.74884497 1.35362907 1.23538364 0.59332824 1.13407231
 0.34602596 0.73053529 0.25069498 0.40926229 0.02075074 0.42413351
 1.3474801  0.96669773 0.26000437 0.20576313 0.16691461 0.1567039 ]","{'amplitude': 15.392981999252376, 'preferred_orientation': 58.86730861278966, 'sigma': 13.517303074241044, 'offset': 0.8319956782378539}",0.9021058632422838,0.8222323060068837
24,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.73352873 1.4722126  9.416502   8.120874   1.3034923  0.63223565
 0.7084868  0.58263206 0.6264071  0.20389195 2.6038468  9.015801
 6.6403418  1.1354364  0.964132   0.6005246  0.15445533 0.63402677]","[0.49313634 0.42010836 0.42315449 0.56784592 0.30835081 0.24736628
 0.27153626 0.1737846  0.32151397 0.08417575 0.76920342 0.31560546
 0.40952698 0.3940287  0.36886517 0.30351075 0.11982934 0.40810983]","{'amplitude': 20.071462014325814, 'preferred_orientation': 47.623845618109726, 'sigma': 14.012707739271182, 'offset': 0.5723315349812185}",0.9869114767707786,0.8976187150423096
25,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.9494255   0.12734112  0.10622652  0.30099058  0.5526682   0.7709081
  9.768415    2.1629307   0.55412334  0.40649673  0.5741911   0.37314135
  0.11461268  0.18924825  2.1540856  16.356535    4.7484503   0.6296612 ]","[0.60880061 0.09168295 0.04729637 0.22640402 0.30872815 0.16877242
 1.68277176 0.49500664 0.14699308 0.10316998 0.13941405 0.15915582
 0.05604046 0.10468733 0.55821642 1.41840869 1.22564224 0.32717682]","{'amplitude': 26.24062459694676, 'preferred_orientation': 302.71010478193324, 'sigma': 10.12745494632913, 'offset': 0.40302198644901266}",0.9125323121532835,0.9421209714019008
